Month,flu
200401,19
200402,27
200403,15
200404,21
200405,16
200406,14
200407,15
200408,18
200409,21
200410,25
200411,19
200412,24
200501,17
200502,19
200503,19
200504,14
200505,12
200506,13
200507,14
200508,17
200509,24
200510,35
200511,31
200512,21
200601,25
200602,28
200603,25
200604,23
200605,16
200606,15
200607,14
200608,21
200609,20
200610,26
200611,31
200612,25
200701,22
200702,23
200703,17
200704,14
200705,17
200706,15
200707,17
200708,17
200709,22
200710,26
200711,27
200712,23
200801,21
200802,22
200803,20
200804,18
200805,12
200806,17
200807,20
200808,22
200809,27
200810,32
200811,34
200812,29
200901,27
200902,25
200903,21
200904,45
200905,49
200906,38
200907,100
200908,40
200909,34
200910,38
200911,43
200912,30
201001,28
201002,26
201003,22
201004,18
201005,15
201006,16
201007,17
201008,22
201009,28
201010,31
201011,31
201012,32
201101,36
201102,27
201103,23
201104,19
201105,19
201106,23
201107,21
201108,25
201109,33
201110,38
201111,38
201112,31
201201,29
201202,30
201203,25
201204,23
201205,23
201206,20
201207,21
201208,23
201209,32
201210,44
201211,41
201212,33
201301,31
201302,32
201303,30
201304,28
201305,23
201306,21
201307,22
201308,27
201309,41
201310,48
201311,52
201312,39
201401,36
201402,37
201403,29
201404,26
201405,23
201406,24
201407,25
201408,31
201409,37
201410,47
201411,45
201412,40
201501,40
201502,37
201503,31
201504,25
201505,26
201506,26
201507,26
201508,29
201509,41
201510,47
201511,46
201512,34
201601,39
201602,39
201603,35
201604,31
201605,25
201606,26
201607,26
201608,31
201609,38
201610,50
201611,53
201612,40
201701,42
201702,41
201703,34
201704,29
201705,27
201706,25
201707,28
201708,30
201709,41
201710,47
201711,49
201712,42
201801,49
201802,42
201803,39
201804,31
201805,27
201806,26
201807,26
201808,33
201809,44
201810,52
201811,52
201812,38
201901,36
